fl_date,mkt_unique_carrier,branded_code_share,mkt_carrier,mkt_carrier_fl_num,op_unique_carrier,tail_num,op_carrier_fl_num,origin_airport_id,origin,origin_city_name,dest_airport_id,dest,dest_city_name,crs_dep_time,dep_time,dep_delay,taxi_out,wheels_off,wheels_on,taxi_in,crs_arr_time,arr_time,arr_delay,cancelled,cancellation_code,diverted,dup,crs_elapsed_time,actual_elapsed_time,air_time,flights,distance,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,first_dep_time,total_add_gtime,longest_add_gtime,no_name
2018-08-04,DL,DL_CODESHARE,DL,3584,OO,N873AS,3584,10397,ATL,"Atlanta, GA",11953,GNV,"Gainesville, FL",1512,1511,-1,16,1527,1614,6,1631,1620,-11,0,,0,N,79,69,47,1,300,,,,,,,,,
2018-05-29,UA,UA,UA,250,UA,N438UA,250,14057,PDX,"Portland, OR",12264,IAD,"Washington, DC",805,758,-7,13,811,1604,7,1600,1611,11,0,,0,N,295,313,293,1,2327,,,,,,,,,
2018-08-17,UA,UA_CODESHARE,UA,5556,OO,N925EV,5556,13930,ORD,"Chicago, IL",14696,SBN,"South Bend, IN",1813,1809,-4,21,1830,1948,3,2005,1951,-14,0,,0,N,52,42,18,1,84,,,,,,,,,
2019-09-11,B6,B6,B6,533,B6,N703JB,533,10529,BDL,"Hartford, CT",15304,TPA,"Tampa, FL",1403,1403,0,17,1420,1649,7,1659,1656,-3,0,,0,N,176,173,149,1,1111,,,,,,,,,
2019-02-19,UA,UA_CODESHARE,UA,3440,YX,N644RW,3440,11618,EWR,"Newark, NJ",11996,GSP,"Greer, SC",2150,2143,-7,17,2200,2351,13,2359,4,5,0,,0,N,129,141,111,1,594,,,,,,,,,
2018-08-02,NK,NK,NK,673,NK,N632NK,673,12889,LAS,"Las Vegas, NV",14679,SAN,"San Diego, CA",725,723,-2,12,735,821,5,835,826,-9,0,,0,N,70,63,46,1,258,,,,,,,,,
2018-08-30,WN,WN,WN,1705,WN,N964WN,1705,13232,MDW,"Chicago, IL",10140,ABQ,"Albuquerque, NM",855,853,-2,7,900,1043,2,1100,1045,-15,0,,0,N,185,172,163,1,1121,,,,,,,,,
2019-11-16,HA,HA,HA,285,HA,N485HA,285,13830,OGG,"Kahului, HI",12173,HNL,"Honolulu, HI",1420,1416,-4,11,1427,1449,6,1503,1455,-8,0,,0,N,43,39,22,1,100,,,,,,,,,
2019-04-26,DL,DL_CODESHARE,DL,3882,OO,N821SK,3882,15249,TLH,"Tallahassee, FL",10397,ATL,"Atlanta, GA",1948,1947,-1,11,1958,2045,31,2107,2116,9,0,,0,N,79,89,47,1,223,,,,,,,,,
2018-07-05,AA,AA_CODESHARE,AA,3844,MQ,N681AE,3844,13303,MIA,"Miami, FL",15249,TLH,"Tallahassee, FL",1730,1727,-3,19,1746,1851,3,1857,1854,-3,0,,0,N,87,87,65,1,402,,,,,,,,,
